AEDAT,AWKEY,AWTYP,BELNR,BLART,BLDAT,BUDAT,BUKRS,CPUDT,CPUTM,CTXKRS,DBBLG_GJAHR,FRATH,FULFILLDATE,GJAHR,GLVOR,HWAER,KUR2X,KURS2,KURS3,KURSF,KURST,KURSX,KZKRS,MANDT,MONAT,NUMPG,PPDAT,PPTME,REINDAT,STJAH,STODT,TCODE,TXKRS,UPDDT,USNAM,VATDATE,WAERS,WWERT,XMWST
00/00/0000,1500000169US002026,BKPFF,1500000169,KZ,06/15/2026,06/16/2026,US00,06/18/2026,14:25:00,0.00000,0000,0.00,00/00/0000,2026,RFBU,USD,0.00000000000000,0.00000,0.00000,0.00000,M,0.00000000000000,0.00000,204,06,000,00/00/0000,00:00:00,00/00/0000,0000,00/00/0000,FBDC_C014,0.00000,00/00/0000,chief_accountant_US,00/00/0000,USD,06/01/2026,X
00/00/0000,1500000170US002026,BKPFF,1500000170,KZ,06/15/2026,06/16/2026,US00,06/16/2026,19:32:00,0.00000,0000,0.00,00/00/0000,2026,RFBU,USD,0.00000000000000,0.00000,0.00000,0.00000,M,0.00000000000000,0.00000,204,06,000,00/00/0000,00:00:00,00/00/0000,0000,00/00/0000,FBDC_C014,0.00000,00/00/0000,accounts_payable_clerk_mi00,00/00/0000,USD,06/01/2026,X
00/00/0000,1500000171US002026,BKPFF,1500000171,KZ,06/15/2026,06/16/2026,US00,06/17/2026,14:06:00,0.00000,0000,0.00,00/00/0000,2026,RFBU,USD,0.00000000000000,0.00000,0.00000,0.00000,M,0.00000000000000,0.00000,204,06,000,00/00/0000,00:00:00,00/00/0000,0000,00/00/0000,FBDC_C014,0.00000,00/00/0000,accounts_payable_clerk_mi00,00/00/0000,USD,06/01/2026,X
00/00/0000,1500000172US002026,BKPFF,1500000172,KZ,06/15/2026,06/16/2026,US00,06/16/2026,18:52:00,0.00000,0000,0.00,00/00/0000,2026,RFBU,USD,0.00000000000000,0.00000,0.00000,0.00000,M,0.00000000000000,0.00000,204,06,000,00/00/0000,00:00:00,00/00/0000,0000,00/00/0000,FBDC_C014,0.00000,00/00/0000,chief_accountant_US,00/00/0000,USD,06/01/2026,X
00/00/0000,1500000173US002026,BKPFF,1500000173,KZ,06/15/2026,06/16/2026,US00,06/18/2026,14:32:00,0.00000,0000,0.00,00/00/0000,2026,RFBU,USD,0.00000000000000,0.00000,0.00000,0.00000,M,0.00000000000000,0.00000,204,06,000,00/00/0000,00:00:00,00/00/0000,0000,00/00/0000,FBDC_C014,0.00000,00/00/0000,accounts_payable_clerk_mi00,00/00/0000,USD,06/01/2026,X
00/00/0000,1500000174US002026,BKPFF,1500000174,KZ,06/17/2026,06/18/2026,US00,06/19/2026,14:10:00,0.00000,0000,0.00,00/00/0000,2026,RFBU,USD,0.00000000000000,0.00000,0.00000,0.00000,M,0.00000000000000,0.00000,204,06,000,00/00/0000,00:00:00,00/00/0000,0000,00/00/0000,FBDC_C014,0.00000,00/00/0000,chief_accountant_US,00/00/0000,USD,06/01/2026,X
00/00/0000,1500000175US002026,BKPFF,1500000175,KZ,06/17/2026,06/18/2026,US00,06/18/2026,20:49:00,0.00000,0000,0.00,00/00/0000,2026,RFBU,USD,0.00000000000000,0.00000,0.00000,0.00000,M,0.00000000000000,0.00000,204,06,000,00/00/0000,00:00:00,00/00/0000,0000,00/00/0000,FBDC_C014,0.00000,00/00/0000,accounts_payable_clerk_mi00,00/00/0000,USD,06/01/2026,X
00/00/0000,1500000176US002026,BKPFF,1500000176,KZ,06/17/2026,06/18/2026,US00,06/19/2026,14:09:00,0.00000,0000,0.00,00/00/0000,2026,RFBU,USD,0.00000000000000,0.00000,0.00000,0.00000,M,0.00000000000000,0.00000,204,06,000,00/00/0000,00:00:00,00/00/0000,0000,00/00/0000,FBDC_C014,0.00000,00/00/0000,accounts_payable_clerk_mi00,00/00/0000,USD,06/01/2026,X
00/00/0000,1500000177US002026,BKPFF,1500000177,KZ,06/17/2026,06/18/2026,US00,06/19/2026,14:17:00,0.00000,0000,0.00,00/00/0000,2026,RFBU,USD,0.00000000000000,0.00000,0.00000,0.00000,M,0.00000000000000,0.00000,204,06,000,00/00/0000,00:00:00,00/00/0000,0000,00/00/0000,FBDC_C014,0.00000,00/00/0000,accounts_payable_clerk_mi00,00/00/0000,USD,06/01/2026,X
00/00/0000,1500000178US002026,BKPFF,1500000178,KZ,06/22/2026,06/23/2026,US00,06/23/2026,15:30:00,0.00000,0000,0.00,00/00/0000,2026,RFBU,USD,0.00000000000000,0.00000,0.00000,0.00000,M,0.00000000000000,0.00000,204,06,000,00/00/0000,00:00:00,00/00/0000,0000,00/00/0000,FBDC_C014,0.00000,00/00/0000,accounts_payable_clerk_mi00,00/00/0000,USD,06/01/2026,X
00/00/0000,1500000179US002026,BKPFF,1500000179,KZ,06/19/2026,06/20/2026,US00,06/22/2026,14:33:00,0.00000,0000,0.00,00/00/0000,2026,RFBU,USD,0.00000000000000,0.00000,0.00000,0.00000,M,0.00000000000000,0.00000,204,06,000,00/00/0000,00:00:00,00/00/0000,0000,00/00/0000,FBDC_C014,0.00000,00/00/0000,accounts_payable_clerk_mi00,00/00/0000,USD,06/01/2026,X
00/00/0000,1500000180US002026,BKPFF,1500000180,KZ,06/19/2026,06/20/2026,US00,06/22/2026,16:38:00,0.00000,0000,0.00,00/00/0000,2026,RFBU,USD,0.00000000000000,0.00000,0.00000,0.00000,M,0.00000000000000,0.00000,204,06,000,00/00/0000,00:00:00,00/00/0000,0000,00/00/0000,FBDC_C014,0.00000,00/00/0000,chief_accountant_US,00/00/0000,USD,06/01/2026,X
00/00/0000,1500000181US002026,BKPFF,1500000181,KZ,06/21/2026,06/22/2026,US00,06/23/2026,16:08:00,0.00000,0000,0.00,00/00/0000,2026,RFBU,USD,0.00000000000000,0.00000,0.00000,0.00000,M,0.00000000000000,0.00000,204,06,000,00/00/0000,00:00:00,00/00/0000,0000,00/00/0000,FBDC_C014,0.00000,00/00/0000,chief_accountant_US,00/00/0000,USD,06/01/2026,X
00/00/0000,1500000182US002026,BKPFF,1500000182,KZ,06/19/2026,06/20/2026,US00,06/23/2026,16:31:00,0.00000,0000,0.00,00/00/0000,2026,RFBU,USD,0.00000000000000,0.00000,0.00000,0.00000,M,0.00000000000000,0.00000,204,06,000,00/00/0000,00:00:00,00/00/0000,0000,00/00/0000,FBDC_C014,0.00000,00/00/0000,accounts_payable_clerk_mi00,00/00/0000,USD,06/01/2026,X
00/00/0000,1500000183US002026,BKPFF,1500000183,KZ,06/21/2026,06/22/2026,US00,06/23/2026,17:57:00,0.00000,0000,0.00,00/00/0000,2026,RFBU,USD,0.00000000000000,0.00000,0.00000,0.00000,M,0.00000000000000,0.00000,204,06,000,00/00/0000,00:00:00,00/00/0000,0000,00/00/0000,FBDC_C014,0.00000,00/00/0000,chief_accountant_US,00/00/0000,USD,06/01/2026,X
00/00/0000,1500000184US002026,BKPFF,1500000184,KZ,06/22/2026,06/23/2026,US00,06/23/2026,17:58:00,0.00000,0000,0.00,00/00/0000,2026,RFBU,USD,0.00000000000000,0.00000,0.00000,0.00000,M,0.00000000000000,0.00000,204,06,000,00/00/0000,00:00:00,00/00/0000,0000,00/00/0000,FBDC_C014,0.00000,00/00/0000,accounts_payable_clerk_mi00,00/00/0000,USD,06/01/2026,X
00/00/0000,1500000185US002026,BKPFF,1500000185,KZ,06/22/2026,06/23/2026,US00,06/23/2026,19:21:00,0.00000,0000,0.00,00/00/0000,2026,RFBU,USD,0.00000000000000,0.00000,0.00000,0.00000,M,0.00000000000000,0.00000,204,06,000,00/00/0000,00:00:00,00/00/0000,0000,00/00/0000,FBDC_C014,0.00000,00/00/0000,chief_accountant_US,00/00/0000,USD,06/01/2026,X
00/00/0000,1500000186US002026,BKPFF,1500000186,KZ,06/22/2026,06/23/2026,US00,06/24/2026,14:15:00,0.00000,0000,0.00,00/00/0000,2026,RFBU,USD,0.00000000000000,0.00000,0.00000,0.00000,M,0.00000000000000,0.00000,204,06,000,00/00/0000,00:00:00,00/00/0000,0000,00/00/0000,FBDC_C014,0.00000,00/00/0000,chief_accountant_US,00/00/0000,USD,06/01/2026,X
00/00/0000,1500000187US002026,BKPFF,1500000187,KZ,06/22/2026,06/23/2026,US00,06/24/2026,14:20:00,0.00000,0000,0.00,00/00/0000,2026,RFBU,USD,0.00000000000000,0.00000,0.00000,0.00000,M,0.00000000000000,0.00000,204,06,000,00/00/0000,00:00:00,00/00/0000,0000,00/00/0000,FBDC_C014,0.00000,00/00/0000,chief_accountant_US,00/00/0000,USD,06/01/2026,X
00/00/0000,1500000188US002026,BKPFF,1500000188,KZ,06/19/2026,06/20/2026,US00,06/24/2026,14:50:00,0.00000,0000,0.00,00/00/0000,2026,RFBU,USD,0.00000000000000,0.00000,0.00000,0.00000,M,0.00000000000000,0.00000,204,06,000,00/00/0000,00:00:00,00/00/0000,0000,00/00/0000,FBDC_C014,0.00000,00/00/0000,chief_accountant_US,00/00/0000,USD,06/01/2026,X
